unique_id,ds,cutoff,config_with_exog__,config_no_exog__,y
Sidrap,2025-02-28 00:00:00+00:00,2024-12-31 00:00:00+00:00,116.36296,56.78291,148.2
Sidrap,2025-03-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,256.14563,193.40509,202.3
Sidrap,2025-04-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,260.57965,172.7248,188.90001
Sidrap,2025-05-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,278.77246,74.13014,418.0
Sidrap,2025-06-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,173.20265,44.226463,256.4
Sidrap,2025-07-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,147.95645,5.8804626,140.40001
Sidrap,2025-08-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,104.14456,-83.647385,107.600006
Sidrap,2025-09-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,111.617256,-72.59253,135.3
Sidrap,2025-10-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,134.5075,82.36399,145.70001
Sidrap,2025-11-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,189.82904,90.38069,129.6
Sidrap,2025-12-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,181.54755,212.67941,126.1
Wajo,2020-01-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,223.4072,215.67577,206.59999
Wajo,2020-02-29 00:00:00+00:00,2019-12-31 00:00:00+00:00,199.1584,102.67543,314.19998
Wajo,2020-03-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,294.02014,256.6694,327.1
Wajo,2020-04-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,249.44592,163.87091,447.7
Wajo,2020-05-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,196.51625,135.69255,353.8
Wajo,2020-06-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,158.14499,136.91779,366.8
Wajo,2020-07-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,207.36688,137.65819,292.6
Wajo,2020-08-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,121.757286,-6.203659,144.20001
Wajo,2020-09-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,47.932167,-28.524948,163.4
Wajo,2020-10-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,120.825294,47.917747,152.1
Wajo,2020-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,271.90198,181.6945,203.40001
Wajo,2020-12-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,377.2322,275.18494,116.7
Wajo,2021-01-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,196.93515,168.99701,137.7
Wajo,2021-02-28 00:00:00+00:00,2020-12-31 00:00:00+00:00,84.478714,105.990776,51.5
Wajo,2021-03-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,219.0661,203.06763,217.70001
Wajo,2021-04-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,244.13751,209.36069,97.7
Wajo,2021-05-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,227.10947,226.95721,315.5
Wajo,2021-06-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,184.65335,150.29117,224.20001
Wajo,2021-07-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,192.29001,150.67502,270.3
Wajo,2021-08-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,99.29608,29.741081,318.90002
Wajo,2021-09-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,70.69795,-3.4065704,336.4
Wajo,2021-10-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,93.15773,59.645958,226.3
Wajo,2021-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,193.5457,114.60375,378.4
Wajo,2021-12-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,227.90573,280.28735,181.2
Wajo,2022-01-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,139.4135,92.466385,159.9
Wajo,2022-02-28 00:00:00+00:00,2021-12-31 00:00:00+00:00,89.76034,181.64511,221.7
Wajo,2022-03-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,122.50836,148.91507,238.40001
