unique_id,ds,precipitation_sum,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,surface_pressure_mean,cloud_cover_mean,shortwave_radiation_sum
Bone,2008-05-31 00:00:00+00:00,196.1,778.2095,2699.3137,247.57858,31008.57,2171.9583,525.23
Bone,2008-06-30 00:00:00+00:00,190.0,739.64087,2620.3657,255.7284,30025.271,2105.5417,467.26
Bone,2008-07-31 00:00:00+00:00,181.5,750.83026,2666.2786,338.74933,31032.38,2113.0417,478.71
Bone,2008-08-31 00:00:00+00:00,162.8,757.70734,2645.8193,314.48917,31033.557,2189.4167,552.83
Bone,2008-09-30 00:00:00+00:00,61.300003,763.41174,2428.1006,257.46616,30018.97,1796.3334,672.73
Bone,2008-10-31 00:00:00+00:00,89.6,824.9574,2500.905,231.64581,30997.443,2223.9167,695.62
Bone,2008-11-30 00:00:00+00:00,180.1,807.5138,2455.275,150.55573,29945.973,2551.75,625.68
Bone,2008-12-31 00:00:00+00:00,237.0,808.80115,2641.5579,161.26001,30930.13,2985.3333,516.82
Bone,2009-01-31 00:00:00+00:00,233.9,805.9324,2613.3862,199.53653,30951.508,2847.375,549.65
Bone,2009-02-28 00:00:00+00:00,142.6,734.0308,2310.4949,178.91919,27929.473,2633.7917,523.12
Bone,2009-03-31 00:00:00+00:00,188.0,806.5324,2630.5095,117.784454,30977.766,2535.5833,615.23
Bone,2009-04-30 00:00:00+00:00,104.4,789.01794,2552.0261,162.41855,29974.918,2209.5417,592.95
Bone,2009-05-31 00:00:00+00:00,139.5,810.0803,2665.1677,178.98105,30972.441,2345.7917,561.45
Bone,2009-06-30 00:00:00+00:00,106.0,758.14087,2552.4458,250.71715,30026.512,1899.8334,514.55
Bone,2009-07-31 00:00:00+00:00,170.8,764.4345,2580.0762,294.51556,31032.797,1929.875,541.82
Bone,2009-08-31 00:00:00+00:00,24.000002,785.94696,2463.086,347.2823,31024.68,1253.7084,654.06
Bone,2009-09-30 00:00:00+00:00,23.600002,795.8055,2255.0073,295.61264,30011.455,1266.2084,707.24
Bone,2009-10-31 00:00:00+00:00,41.300003,838.097,2278.7595,268.18213,31015.049,1916.2916,761.15
Bone,2009-11-30 00:00:00+00:00,77.9,826.16797,2264.6475,206.26256,29950.535,2267.25,671.69
Bone,2009-12-31 00:00:00+00:00,140.90001,839.2637,2492.2327,150.6053,30972.762,2618.1667,632.06
Bone,2010-01-31 00:00:00+00:00,244.5,816.2011,2601.5356,192.12589,30977.723,2923.625,523.34
Bone,2010-02-28 00:00:00+00:00,166.2,749.96625,2377.0413,123.76596,28001.865,2411.0417,569.65
Bone,2010-03-31 00:00:00+00:00,228.8,823.39075,2652.1465,123.0843,31000.594,2548.9167,606.77997
Bone,2010-04-30 00:00:00+00:00,233.2,805.9784,2574.351,123.89322,29991.205,2533.2917,560.72003
Bone,2010-05-31 00:00:00+00:00,270.8,823.3262,2734.1658,170.37062,30959.424,2433.4583,510.46
Bone,2010-06-30 00:00:00+00:00,382.80002,756.4034,2690.2468,252.77997,30018.83,2445.5417,419.6
Bone,2010-07-31 00:00:00+00:00,253.5,777.37195,2757.0222,262.1753,31011.363,2449.3333,493.26
Bone,2010-08-31 00:00:00+00:00,157.2,783.13654,2683.4763,235.87701,31015.316,2361.7917,535.18
Bone,2010-09-30 00:00:00+00:00,147.0,780.743,2540.1614,187.53624,29989.355,2328.7083,612.48
Bone,2010-10-31 00:00:00+00:00,278.8,807.96155,2676.2358,165.66142,30959.621,2789.0,579.53
Bone,2010-11-30 00:00:00+00:00,217.3,788.32214,2555.064,132.07625,29951.02,2587.3333,614.79
Bone,2010-12-31 00:00:00+00:00,246.2,807.10736,2620.0098,169.88837,30891.418,2952.7083,513.13
Bone,2011-01-31 00:00:00+00:00,212.8,805.9282,2594.7366,161.86728,30916.254,2849.25,574.58
Bone,2011-02-28 00:00:00+00:00,109.0,735.67456,2292.5913,179.88231,27935.02,2460.5833,565.85
Bone,2011-03-31 00:00:00+00:00,218.5,807.5761,2625.117,163.27863,30934.191,2908.0417,554.99
Bone,2011-04-30 00:00:00+00:00,233.7,779.3326,2578.4465,153.33594,29960.604,2704.0833,509.65
Bone,2011-05-31 00:00:00+00:00,180.5,795.2824,2717.6624,193.62022,30995.908,2384.5417,517.76
Bone,2011-06-30 00:00:00+00:00,120.1,744.6284,2533.8865,304.85468,30012.268,2038.1666,493.11
Bone,2011-07-31 00:00:00+00:00,90.3,761.72406,2627.2876,309.71838,31024.957,2041.3333,555.27
Bone,2011-08-31 00:00:00+00:00,34.600002,770.3282,2433.3203,371.73853,31035.332,1499.875,642.15
Bone,2011-09-30 00:00:00+00:00,40.8,769.5659,2321.8867,312.37097,30032.547,1673.2084,671.64
Bone,2011-10-31 00:00:00+00:00,96.6,824.7949,2504.049,233.92017,30981.115,1998.6666,695.01
Bone,2011-11-30 00:00:00+00:00,115.9,812.3534,2388.386,167.8678,29947.236,2137.75,669.17
Bone,2011-12-31 00:00:00+00:00,218.4,824.6157,2596.0698,150.32169,30918.713,2843.6667,543.58
Bone,2012-01-31 00:00:00+00:00,131.3,814.0907,2602.5686,164.65433,30936.697,2963.8333,534.88
Bone,2012-02-29 00:00:00+00:00,250.0,751.5264,2492.2244,132.72678,28946.342,2513.7917,553.12
Bone,2012-03-31 00:00:00+00:00,217.6,808.9907,2624.0974,143.34038,30942.604,2882.375,547.76
Bone,2012-04-30 00:00:00+00:00,184.8,777.5638,2569.1165,149.28506,30001.438,2390.75,586.72
Bone,2012-05-31 00:00:00+00:00,219.9,790.5282,2703.981,194.23425,30987.326,2465.5,499.03
Bone,2012-06-30 00:00:00+00:00,237.6,746.0013,2588.957,274.37173,30023.072,2093.25,463.24
Bone,2012-07-31 00:00:00+00:00,165.2,754.12195,2639.8909,319.36804,31019.682,2213.75,507.63998
Bone,2012-08-31 00:00:00+00:00,57.700005,759.0074,2514.5393,350.69205,31057.223,1643.9166,626.6
Bone,2012-09-30 00:00:00+00:00,25.7,769.4638,2276.4866,279.46268,30036.04,1765.4584,714.98
Bone,2012-10-31 00:00:00+00:00,51.2,834.41364,2378.736,252.0262,30995.398,1736.6666,747.76
Bone,2012-11-30 00:00:00+00:00,95.0,818.2971,2364.1584,179.8427,29971.285,1947.9166,668.76
Bone,2012-12-31 00:00:00+00:00,224.0,825.78656,2573.732,135.6959,30943.332,2814.9583,582.53
Bone,2013-01-31 00:00:00+00:00,156.7,823.222,2547.5999,229.63177,30954.78,2941.2083,526.96
Bone,2013-02-28 00:00:00+00:00,150.1,740.9808,2336.6228,153.78337,27951.469,2474.8333,528.53
Bone,2013-03-31 00:00:00+00:00,154.9,824.8199,2606.6409,150.19414,30986.586,2572.0417,609.54
Bone,2013-04-30 00:00:00+00:00,194.3,786.8596,2593.6772,152.21222,29981.615,2546.0417,545.05
Bone,2013-05-31 00:00:00+00:00,285.2,805.36365,2711.6504,163.5787,30990.758,2578.0417,500.92
Bone,2013-06-30 00:00:00+00:00,281.4,770.2346,2643.8818,153.15417,29972.447,2403.0417,452.48
Bone,2013-07-31 00:00:00+00:00,395.7,754.2699,2773.3696,273.57504,31009.936,2730.75,383.2
Bone,2013-08-31 00:00:00+00:00,73.3,766.10736,2527.2764,333.87576,31040.898,1859.25,608.72
Bone,2013-09-30 00:00:00+00:00,31.6,767.56793,2372.0913,302.21768,30020.148,1734.0,699.15
Bone,2013-10-31 00:00:00+00:00,42.0,836.5157,2323.3618,218.32951,31015.38,2061.625,748.19
Bone,2013-11-30 00:00:00+00:00,112.2,813.5326,2345.5195,161.0486,29952.459,2602.25,620.34
Bone,2013-12-31 00:00:00+00:00,328.0,810.624,2664.3962,159.09494,30942.043,3002.5,505.63998
Bone,2014-01-31 00:00:00+00:00,147.8,805.022,2569.2078,243.42618,30957.684,2910.2083,510.85
Bone,2014-02-28 00:00:00+00:00,109.1,738.45996,2270.1782,136.5494,27967.246,2570.25,569.83
Bone,2014-03-31 00:00:00+00:00,209.6,812.4282,2633.9067,137.43997,30999.574,2537.7083,624.27997
Bone,2014-04-30 00:00:00+00:00,175.2,786.14294,2564.603,129.46587,29990.344,2465.0,551.25
Bone,2014-05-31 00:00:00+00:00,253.1,800.6324,2723.4846,220.31119,31010.05,2471.1667,510.88998
Bone,2014-06-30 00:00:00+00:00,281.9,756.17633,2691.14,243.2897,30004.186,2428.25,415.08002
